Mes,Total factura (ARS),IVA contenido (ARS),Saldo anterior (ARS)
2025-04,40536.98,7035.34,40136.98
2025-05,41814.99,7257.14,40536.98
2025-06,43593.01,7565.73,41814.99
2025-07,45039.01,7816.69,43593.01
2025-08,45858.99,7959.0,45039.01
2025-09,56329.99,9776.28,45858.99
2025-10,57421.99,9965.8,56329.99
2025-11,120246.0,20867.3,57421.99
2025-12,118287.47,20527.39,120246.0
2026-01,123338.02,21403.94,118287.47
2026-02,133458.69,23160.42,123338.02
2026-03,131607.5,22839.14,133458.69
